"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"じゃがいも畑","小田中676-1","0868-24-2745","","","心身障害者地域福祉作業所","133.98843776340667","35.069137567969314"
"輪輪かけはし","加茂町小中原143","0868-42-3004","","","心身障害者地域福祉作業所","134.05029672706496","35.178476585096064"
"津山しらうめの会共同作業所","椿高下125","0868-24-9012","","","精神障害者共同作業所","134.00365254159775","35.065910576493522"
"ワーキングメイト","上河原210-2-3","0868-22-0880","","","精神障害者共同作業所","134.00213363671747","35.083088071787046"
"ふれんど久米","中北下1300","0868-57-7768","","","精神障害者共同作業所","133.89997559544241","35.059607416988079"
"ワークショップ津山","東新町6","0868-22-4325","","","小規模通所授産施設","134.01919719036351","35.064228934844884"
"ふれあいの丘ゆうあい","紫保井904-5","0868-22-5635","","","障害児者日中一時支援事業所","134.02010548863666","35.09494539844713"
"弥生ヶ丘","沼683-1","0868-24-5555","","","老人保健施設","134.01403940532043","35.077260605722579"
"ケアガーデン津山","河辺332-1","0868-21-7711","","","老人保健施設","134.05227800945136","35.061381918105319"
"津山ナーシングホーム","野介代1656-1","0868-31-7111","","","老人保健施設","134.03609686024706","35.078346091324121"
"おとなの学校　岡山校","日本原352","0868-36-3390","","","老人保健施設","134.13212860133171","35.11112433845657"
"鶯園","瓜生原337-1","0868-26-0888","","","特別養護老人ホーム","134.04253362454307","35.042960139472932"
"白梅寮","瓜生原535-2","0868-26-0888","","","有料老人ホーム","134.04336281606842","35.042812598302156"
"ユウユウハウス下横野","下横野2604-2","0868-27-7500","","","有料老人ホーム","134.01561200154578","35.111132160245873"
"特別養護老人ホームのどか","神戸262-2","0868-28-8511","","","特別養護老人ホーム","133.94501273868747","35.057245344052106"
"イーエスガーデン","津山口307","0868-25-2000","","","軽費老人ホーム","133.98154735656644","35.056267488645958"
"サンシティ－うぐいす","国分寺988-1","0868-26-8100","","","ケアハウス","134.0426050156845","35.043460947161357"
"ケアハウス北辰","林田1664","0868-31-2350","","","ケアハウス","134.01133749086227","35.065749387500119"
"ケアハウス上河原","上河原344-1","0868-32-1150","","","ケアハウス","134.00442370312314","35.085992927183234"
"ケアハウスオークパーク","一方216-3","0868-23-0989","","","ケアハウス","133.98022571640234","35.05658119688534"
"サンホームつやま","田町27","0868-22-5104","","","老人保健施設","133.99976510634804","35.063672578808855"
"サンホームおおだ","大田83-5","0868-32-9150","","","有料老人ホーム","134.00757963411337","35.083506837797785"
"グループホーム淳厚苑","加茂町塔中105","0868-42-3033","","","グループホーム（認知症対応型）","134.05445605577762","35.178544511161633"
"グループホームうぐいす","瓜生原331","0868-21-8500","","","グループホーム（認知症対応型）","134.04133553150552","35.043400908097126"
"東部サブセンター","瓜生原331","0868-26-7822","","","津山市地域包括支援センター","134.04167313342771","35.0433829065813"
"西部サブセンター","二宮999","0868-28-4135","","","津山市地域包括支援センター","133.96658569781025","35.068403661186913"
"中央部サブサンター","山北520","0868-23-1004","","","津山市地域包括支援センター","134.00426245355891","35.069120974128907"
"加茂サブサンター","加茂町小中原143","0868-42-5135","","","津山市地域包括支援センター","134.05013011664067","35.178603227048583"
"久米サブセンター","中北下1300","0868-57-2135","","","津山市地域包括支援センター","133.90053028949833","35.059375379404621"
"ネクスト津山","津山口308-5","0868-22-1177","","","精神障害者地域生活支援センター","133.98219633560569","35.055699006462838"
"津山ひかり学園ひかりの風","川崎1508","0868-26-1091","","","知的障害児施設","134.03262540064986","35.063126740773832"
"津山ひかり学園ひかりの杜","川崎1508","0868-26-1091","","","知的障害者生活介護・入所施設、自立訓練施設","134.03303622270022","35.06344769567869"
"津山ひかり学園ひかりの杜","川崎1508","0868-26-1091","","","知的障害者生活介護・入所施設、自立訓練施設","134.03266969050429","35.063531479868594"
"津山ひかり学園ひかりの丘","川崎1566","0868-26-7525","","","就労継続支援Ｂ型、就労移行支援","134.0341853546789","35.063732827293208"
"メゾンきさらぎ","川崎1508","0868-26-1092","","","共同生活介護、共同生活援助","134.03374344130356","35.065651332097588"
"津山みのり学園","二宮999","0868-28-0522","","","知的障害児通園施設","133.96833508715522","35.0674906778061"
"津山みのり学園ココロみのり","二宮999","0868-28-0522","","","生活介護・入所支援","133.968377804506","35.067722165357537"
"津山みのり学園セルプみのり","二宮999","0868-28-0522","","","生活介護・入所支援、就労継続支援Ｂ型","133.96859303960466","35.068221525974948"
"みのり共同生活事業所","二宮999","0868-28-0522","","","共同生活介介護、共同生活援助","133.97459518145831","35.068413516218435"
"キッズみのり児童発達支援センター","二宮999","0868-28-0536","","","児童デイサービス","133.96794553913753","35.067900551415711"
"グループホームみすず","瓜生原326-1","0868-26-7370","","","グループホーム（認知症対応型）","134.04068320081339","35.042192718894441"
"キッズみのり児童デイサービス事業所あゆみ","小田中1857-7","0868-35-2122","","","児童デイサービス","133.98591995775078","35.063058710452253"
"児童デイサービス　てけてけ","山北800","0868-32-2174","","","児童デイサービス","134.00914901551917","35.069146591513842"
"津山広済寮","小田中1412","0868-22-2606","","","救護施設","133.9889215377795","35.061279136514834"
"津山市障害福祉センター　神南備園","大谷600","0868-24-9402","","","障害者福祉センター","133.993469235265","35.052536743474541"
"ときわ園","井口100-1","0868-22-4973","","","養護老人ホーム","133.99055621663658","35.054324955038567"
"高寿園","下高倉西1581-1","0868-29-0115","","","特別養護老人ホーム","134.03840710209934","35.096936451457971"
"赤堀病院","椿高下33","0868-24-1212","","","助産施設","134.00059044652878","35.065634657658407"
"作業所　きぼう","久米川南3083","0868-57-9754","","","心身障害者地域福祉作業所","133.94556738743458","35.046091236135872"
"もっこクラブ","新野東557-2","0868-36-7116","","","精神障害者共同作業所","134.11342297609735","35.104785971014763"
"障害者支援施設ライフみのり","二宮999","0868-28-0522","","","施設入所支援・生活介護","133.96935149550882","35.068229929811984"
"ウィズユー","東一宮651-3","0868-35-3511","","","就労継続支援Ａ型","134.01125221207951","35.101699602554866"
"社会就労センターワークスみのり","二宮999-10","0868-28-2515","","","就労継続支援Ａ型","133.96862194760777","35.067090099224039"
"ウィッシュランド","新野東557-2","0868-36-7116","","","就労継続支援Ｂ型","134.11341412818953","35.10483847606563"
"就労継続支援Ｂ型事業所ホワイト","瓜生原322","0868-26-3118","","","就労継続支援Ｂ型","134.04100352665753","35.041811462202062"
"サンコート","津山口309-2","0868-23-5355","","","共同生活援助","133.98249972143569","35.0557376666761"
"ミ・カサ","北町44-1","0868-23-3111","","","特別養護老人ホーム","134.00579421314822","35.065448246606351"
"グループホーム津山","小田中138-1","0868-22-3988","","","グループホーム（認知症対応型）","133.99793629442917","35.069189460042061"
"アーバンライフ二階町","二階町23-3","0868-35-2000","","","有料老人ホーム","134.00171447696403","35.059466065023251"
"ユウユウハウス中島","中島179-1","0868-28-7100","","","有料老人ホーム","133.96488990953779","35.055925248412194"
"土居の里（１号棟）","下高倉西2370-1","0868-29-2734","","","有料老人ホーム","134.03253224171283","35.095487071490986"
"サン・オークス津山","紫保井1463-1","0868-20-1515","","","有料老人ホーム","134.01250648370942","35.084800310599867"
"特定施設　蓉厚苑","加茂町塔中105","0868-42-2125","","","有料老人ホーム","134.05365804157734","35.178727009614327"
"第２日本原荘","新野東1798-1","0868-36-3838","","","軽費老人ホーム","134.12814187941478","35.10389731640705"
"障害児通所施設ラルーチェめぐみ","川崎594-5","0868-35-3708","","","児童発達支援・放課後等デイサービス","134.02644012506832","35.063845357696955"
"北部サブセンター","山北520","0868-23-1004","","","津山市地域包括支援センター","134.00435147814574","35.069119498440507"
"勝北サブセンター","新野東567","0868-36-6135","","","津山市地域包括支援センター","134.11269738157719","35.104754239933442"
"南部サブセンター","井口100-1","0868-31-1135","","","津山市地域包括支援センター","133.99055591668275","35.05424586216914"
"特定施設のどか","神戸262-1","0868-28-7555","","","有料老人ホーム","133.94530866389556","35.057475537528951"
"のぞみ苑","川崎554-5","0868-26-8877","","","老人保健施設","134.02526115780211","35.062384348079171"
"かもの郷","加茂町中原61","0868-42-3133","","","老人保健施設","134.05221055703751","35.176213955708974"
"土居の里（２号棟）","下高倉西2364-1","0868-29-2734","","","有料老人ホーム","134.0316886789135","35.09576375082996"
"咲楽苑","日本原199","0868-36-7728","","","有料老人ホーム","134.13014940249076","35.112131663145412"
"ハートリンク津山口","津山口208-1","0868-35-0077","","","有料老人ホーム","133.98383211362045","35.055839974591166"
"スローリビング津山","二宮656-1","0868-35-2287","","","有料老人ホーム","133.96339774110911","35.061480801405523"
"勝福","日上1675-5","0868-29-1504","","","有料老人ホーム","134.02097717654436","35.050549293875221"
"大智宅老所　いざなみ荘","下高倉西2190-1","0868-29-6670","","","有料老人ホーム","134.03352915403204","35.100268208907835"
