Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,22,,,,"010,803,4
",,,,太田眼科医院,,,,,"〒701－0205
岡山市南区妹尾２３４４ー４",,,"086-281-5000
常　勤:　　　 2
(医　　　　 1)
(薬　　　　 1)",,,太田　知雅,,,太田　知雅,,,,"昭59. 10. 1

平29. 10. 1",,,,眼,,,,"診療所
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　医科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,3頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,23,,,,"010,807,5
",,,,中島内科小児科医院,,,,,"〒703－8271
岡山市中区円山８１ー７",,,"086-276-3088
常　勤:　　　 2
(医　　　　 2)",,,中島　豊,,,中島　豊,,,,"昭59. 12. 1

平29. 12. 1",,,,内　小,,,,"診療所
現存
",,,,
,,24,,,,"010,853,9
",,,,和田整形外科診療所,,,,,"〒700－0822
岡山市北区表町１ー８ー３８ナサビル５Ｆ",,,"086-232-5432
常　勤:　　　 1
(医　　　　 1)",,,和田　久宣,,,和田　久宣,,,,"昭62. 10. 1

平29. 10. 1",,,,整外　リハ,,,,"診療所
現存
",,,,
,,25,,,,"010,882,8
",,,,河野整形外科医院,,,,,"〒700－0951
岡山市北区田中１５４－１０２",,,"086-244-1088
常　勤:　　　 1
(医　　　　 1)",,,河野　光信,,,河野　光信,,,,"平元. 7. 1

平28. 7. 1",,,,整外　リハ,,,,"診療所
現存
",,,,
,,26,,,,"010,888,5
",,,,古田内科小児科医院,,,,,"〒703－8201
岡山市中区四御神３３５－４",,,"086-279-5266
常　勤:　　　 1
(医　　　　 1)",,,古田　嘉男,,,古田　嘉男,,,,"平元. 10. 1

平28. 10. 1",,,,内　神内　呼　胃　循　小　リハ　放,,,,"診療所
現存
",,,,
,,27,,,,"010,891,9
",,,,どい小児科クリニック,,,,,"〒700－0975
岡山市北区今２丁目１０番８号",,,"086-241-7141
常　勤:　　　 2
(医　　　　 2)",,,土肥　潤子,,,土肥　潤子,,,,"平元. 12. 1

平28. 12. 1",,,,小　循　内　アレ,,,,"診療所
現存
",,,,
,,28,,,,"010,910,7
",,,,ムネトモクリニック,,,,,"〒700－0975
岡山市北区今７丁目６ー２５",,,"086-245-7070
常　勤:　　　 1
(医　　　　 1)",,,宗友　文男,,,宗友　文男,,,,"平2. 9. 1

平29. 9. 1",,,,内　消　小,,,,"診療所
現存
",,,,
,,29,,,,"010,912,3
",,,,末宗小児科医院,,,,,"〒700－0936
岡山市北区富田５０３ー５",,,"086-227-3322
常　勤:　　　 1
(医　　　　 1)",,,末宗　正行,,,末宗　正行,,,,"平2. 12. 1

平29. 12. 1",,,,小　アレ,,,,"診療所
現存
",,,,
,,30,,,,"010,913,1
",,,,おぐら小児科,,,,,"〒700－0976
岡山市北区辰巳３４ー１０９",,,"086-244-1115
常　勤:　　　 1
(医　　　　 1)
非常勤:　　　 1
(医　　　　 1)",,,小倉　威郎,,,小倉　威郎,,,,"平2. 12. 1

平29. 12. 1",,,,小　アレ,,,,"診療所
現存
",,,,
,,31,,,,"010,915,6
",,,,ぬもとクリニック,,,,,"〒700－0821
岡山市北区中山下１丁目９ー５１",,,"086-222-0720
常　勤:　　　 1
(医　　　　 1)",,,沼本　重遠,,,沼本　重遠,,,,"平2. 12. 27

平29. 12. 27",,,,整外　リハ　放　リウ,,,,"診療所
現存
",,,,
,,32,,,,"010,922,2
",,,,野田内科医院,,,,,"〒703－8213
岡山市東区藤井１７４ー６",,,"086-278-3318
常　勤:　　　 1
(医　　　　 1)",,,野田　憲男,,,野田　憲男,,,,"平3. 5. 1

平30. 5. 1",,,,内　消　小　リハ　他,,,,"診療所
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　医科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,4頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,33,,,,"010,926,3
",,,,松本医院,,,,,"〒700－0976
岡山市北区辰巳３８ー１０１",,,"46-1536
常　勤:　　　 1
(医　　　　 1)",,,大森　伸,,,大森　伸,,,,"平3. 7. 1

平30. 7. 1",,,,内　呼　消　外　皮　リハ　麻,,,,"診療所
現存
",,,,
,,34,,,,"010,930,5
",,,,時岡内科循環器科医院,,,,,"〒700－0818
岡山市北区蕃山町８ー１３",,,"086-223-2657
常　勤:　　　 1
(医　　　　 1)",,,時岡　正明,,,時岡　正明,,,,"平3. 8. 1

平30. 8. 1",,,,内　呼　消　循　リウ,,,,"診療所
現存
",,,,
,,35,,,,"010,931,3
",,,,藤原脳神経外科医院,,,,,"〒700－0026
岡山市北区奉還町４丁目２１ー２２",,,"086-256-8168
常　勤:　　　 1
(医　　　　 1)",,,藤原　則章,,,藤原　則章,,,,"平3. 8. 1

平30. 8. 1",,,,脳外　外　神内,,,,"診療所
現存
",,,,
,,36,,,,"010,932,1
",,,,うらた医院,,,,,"〒701－0145
岡山市北区今保２０６ー１",,,"086-246-0062
常　勤:　　　 1
(医　　　　 1)",,,浦田　昌子,,,浦田　昌子,,,,"平3. 8. 1

平30. 8. 1",,,,内　循　小　皮,,,,"診療所
現存
",,,,
,,37,,,,"010,942,0
",,,,ゆうクリニック,,,,,"〒700－0903
岡山市北区幸町１ー７大田ビル３Ｆ",,,"086-225-0375
常　勤:　　　 1
(医　　　　 1)",,,柳田　公佑,,,柳田　公佑,,,,"平4. 3. 1

平28. 3. 1",,,,精　心内　内,,,,"診療所
現存
",,,,
,,38,,,,"010,948,7
",,,,星島医院,,,,,"〒701－0213
岡山市南区中畦６０４",,,"086-298-2747
常　勤:　　　 1
(医　　　　 1)",,,星島　昭,,,星島　昭,,,,"平4. 5. 1

平28. 5. 1",,,,内　胃　外　皮　こう　リハ,,,,"診療所
現存
",,,,
,,39,,,,"010,954,5
(014,954,7)
",,,,樋口クリニック,,,,,"〒700－0907
岡山市北区下石井２－１－１０ＫＥビル３Ｆ",,,"086-221-3131
常　勤:　　　 2
(医　　　　 1)
(歯　　　　 1)
非常勤:　　　 3
(歯　　　　 3)",,,樋口　譲二,,,樋口　譲二,,,,"平4. 10. 1

平28. 10. 1",,,,小　内　歯　小歯　矯歯,,,,"診療所
現存
",,,,
,,40,,,,"010,964,4
",,,,ながはら医院,,,,,"〒700－0013
岡山市北区伊福町４－５－４５",,,"086-256-2858
常　勤:　　　 1
(医　　　　 1)",,,永原　章正,,,永原　章正,,,,"平5. 5. 1

平29. 5. 1",,,,内　消　リハ　放,,,,"診療所
現存
",,,,
,,41,,,,"010,969,3
",,,,三好整形外科医院,,,,,"〒701－1145
岡山市北区横井上７８７－２",,,"086-294-2340
常　勤:　　　 1
(医　　　　 1)",,,三好　和宏,,,三好　和宏,,,,"平5. 7. 1

平29. 7. 1",,,,整外　リハ　リウ,,,,"診療所
現存
",,,,
,,42,,,,"010,985,9
",,,,すなみ内科,,,,,"〒700－0063
岡山市北区大安寺東町７ー１",,,"086-255-7265
常　勤:　　　 1
(医　　　　 1)",,,角南　真一,,,角南　真一,,,,"平6. 9. 1

平30. 9. 1",,,,内　神内　胃　小,,,,"診療所
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　医科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,5頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,43,,,,"010,986,7
",,,,福本クリニック,,,,,"〒701－1201
岡山市北区首部６５ー４",,,"086-284-8811
常　勤:　　　 1
(医　　　　 1)",,,福本　光宏,,,福本　光宏,,,,"平6. 10. 1

平30. 10. 1",,,,内　胃　小　リハ　アレ,,,,"診療所
現存
",,,,
,,44,,,,"010,987,5
",,,,産科婦人科　浮田病院,,,,,"〒704－8117
岡山市東区西大寺南２丁目５－１８",,,"086-942-5850
常　勤:　　　 1
(医　　　　 1)
非常勤:　　　 3
(医　　　　 3)",,,浮田　信明,,,浮田　信明,,,,"平6. 9. 14

平30. 9. 14",,,,"一般　　     20
産婦",,,,"病院
現存
",,,,
,,45,,,,"010,999,0
",,,,中務皮膚科クリニック,,,,,"〒703－8236
岡山市中区国富７８１ー１国富診療ビル２階",,,"086-272-2110
常　勤:　　　 1
(医　　　　 1)",,,中務　晶弘,,,中務　晶弘,,,,"平7. 5. 1

平28. 5. 1",,,,皮,,,,"診療所
現存
",,,,
,,46,,,,"011,017,0
",,,,一般財団法人　河田病院,,,,,"〒700－0031
岡山市北区富町２丁目１５番２１号",,,"086-252-1231
常　勤:　　　10
(医　　　　 9)
(薬　　　　 1)
非常勤:　　　25
(医　　　　25)",,,一般財団法人河田病院　理事長　河田　隆介,,,河田　敏明,,,,"昭32. 10. 1

平29. 10. 1",,,,"精神　　    640
精　神内　リハ　心内",,,,"病院
現存
",,,,
,,47,,,,"011,020,4
",,,,医療法人　喜多村病院,,,,,"〒700－0815
岡山市北区野田屋町１丁目２－１１",,,"086-225-1065
常　勤:　　　 2
(医　　　　 2)
非常勤:　　　 1
(医　　　　 1)",,,医療法人　喜多村病院　理事長　喜多村　勇,,,喜多村　勇,,,,"昭32. 10. 1

平29. 10. 1",,,,"療養　　
　　療養     20
内　小",,,,"病院
現存
",,,,
,,48,,,,"011,024,6
(015,024,8)
",,,,光生病院,,,,,"〒700－0985
岡山市北区厚生町３丁目８番３５号",,,"086-222-6806
常　勤:　　　24
(医　　　　17)
(歯　　　　 1)
(薬　　　　 6)
非常勤:　　　90
(医　　　　87)
(歯　　　　 2)
(薬　　　　 1)",,,社会医療法人　光生病院　理事長　佐能　量雄,,,佐能　量雄,,,,"昭32. 7. 1

平29. 7. 1",,,,"一般　　    198
内　外　整外　脳外　形外　心外　呼内　放　神内　ひ　リハ　心内　精　皮　歯　眼　麻",,,,"病院
現存
",,,,
,,49,,,,"011,026,1
",,,,淳風会ロングライフホスピタル,,,,,"〒700－0072
岡山市北区万成東町３－１",,,"086-252-1185
常　勤:　　　 3
(医　　　　 2)
(薬　　　　 1)
非常勤:　　　51
(医　　　　48)
(薬　　　　 3)",,,一般財団法人淳風会　理事長　原　一穂,,,久本　信實,,,,"昭32. 10. 1

平29. 10. 1",,,,"療養　　     60
内　リハ　他",,,,"病院
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　医科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,6頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,50,,,,"011,027,9
(015,027,1)
",,,,公益財団法人慈圭会　慈圭病院,,,,,"〒702－8026
岡山市南区浦安本町１００番２地",,,"086-262-1191
常　勤:　　　36
(医　　　　27)
(歯　　　　 1)
(薬　　　　 8)
非常勤:　　　14
(医　　　　12)
(薬　　　　 2)",,,公益財団法人慈圭会　代表理事　堀井　茂男,,,武田　俊彦,,,,"昭32. 10. 1

平29. 10. 1",,,,"精神　　    570
精　歯　神",,,,"病院
現存
",,,,
,,51,,,,"011,035,2
(015,035,4)
",,,,医療法人　万成病院,,,,,"〒700－0071
岡山市北区谷万成１－６－５",,,"086-252-2261
常　勤:　　　16
(医　　　　15)
(歯　　　　 1)
非常勤:　　　14
(医　　　　 7)
(歯　　　　 7)",,,医療法人　万成病院　理事長　小林　建太郎,,,小林　建太郎,,,,"昭32. 8. 1

平29. 8. 1",,,,"精神　　
　　精神    500
内　精　歯　神　心内",,,,"病院
現存
",,,,
,,52,,,,"011,037,8
",,,,財団法人志清会　岡山紀念病院,,,,,"〒700－0862
岡山市北区清輝本町７番２２号",,,"086-221-1116
常　勤:　　　 5
(医　　　　 4)
(薬　　　　 1)
非常勤:　　　25
(医　　　　25)",,,一般財団法人　志清会　理事長　六車　昌士,,,六車　昌士,,,,"昭32. 10. 1

平29. 10. 1",,,,"一般　　
　　一般     40
内　呼　消　循　外　リハ　放　神内　小　皮",,,,"病院
現存
",,,,
,,53,,,,"011,049,3
(015,049,5)
",,,,公益財団法人林精神医学研究所　附属　林道倫精神科神経科病院,,,,,"〒703－8256
岡山市中区浜４７２",,,"086-272-8811
常　勤:　　　 9
(医　　　　 8)
(歯　　　　 1)
非常勤:　　　19
(医　　　　19)",,,公益財団法人林精神医学研究所　理事長　林　英樹,,,林　英樹,,,,"昭32. 10. 1

平29. 10. 1",,,,"精神　　    278
精　内　神　心内　歯",,,,"病院
現存
",,,,
,,54,,,,"011,062,6
(015,062,8)
",,,,総合病院　岡山協立病院,,,,,"〒703－8288
岡山市中区赤坂本町８番１０号",,,"086-272-2121
常　勤:　　　45
(医　　　　36)
(歯　　　　 4)
(薬　　　　 5)
非常勤:　　　26
(医　　　　26)",,,岡山医療生活協同組合　代表理事　髙橋　淳,,,髙橋　淳,,,,"昭35. 11. 10

平29. 11. 10",,,,"一般　　    318
内　外　脳外　整外　小　婦　ひ　眼　耳い　呼内　麻　リハ　放　精　皮　リウ　アレ　歯　病理",,,,"病院
現存
",,,,
,,55,,,,"011,081,6
",,,,医療法人社団恵風会　宮本整形外科駅前診療所,,,,,"〒700－0902
岡山市北区錦町２番８号",,,"086-225-2311
常　勤:　　　 1
(医　　　　 1)
非常勤:　　　 1
(医　　　　 1)",,,医療法人社団恵風会　宮本整形外科病院　理事長　宮本　宣義,,,安井　一夫,,,,"昭42. 8. 1

平30. 8. 1",,,,整外　内,,,,"診療所
現存
",,,,
,,56,,,,"011,089,9
",,,,大元寮診療所,,,,,"〒700－0927
岡山市北区西古松３２１番地の１０２",,,"086-241-1415
常　勤:　　　 1
(医　　　　 1)",,,社会福祉法人　岡山ろうあ児援護協会　理事長　大森　修平,,,菅谷　明子,,,,"昭44. 10. 1

平29. 10. 1",,,,耳い,,,,"診療所
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
