"名称","住所","TEL","FAX","URL","備考1","備考2","備考3","備考4","備考5","世界_10進_X","世界_10進_Y"
"阿波森林公園「阿波渓流釣り場」","阿波3108-4","0868-46-2077","","http://www.tsuyamakan.jp/tour/detail/?pk=49","自然いっぱいのエリアの森林公園内には、バンガロー、炊事棟、シャワー棟等の施設が整備されています。園内には阿波渓流釣り場もあり、山岳部を流れる渓流に釣り場を設けてアマゴ・ニジマスを放流しています。","","","","","134.12463057832505","35.245837043607487"
"ウッドパーク声ヶ乢（こえがたわ）","市場","0868-32-7024（勝北支所産業建設課）","","http://www.tsuyamakan.jp/tour/detail/?pk=121","声ヶ乢は、広戸仙への登山口にあり、標高530ｍに位置し、勝北の町並みが一望できます。春にはソメイヨシノや八重桜、山桜など1200本の桜が、初夏には約2000本のアジサイが咲き、秋にかけては眼下に雲海が見られます。<BR>交通　中国自動車道津山ICから車で約20分","","","","","134.11544645261515","35.148436324950254"
"岩屋城跡","中北上","0868-24-8413（文化課）","","https://www.city.tsuyama.lg.jp/city/index2.php?id=1429","出雲街道に面する美作西部の要衝にあたり、嘉吉元年（1441）美作国の守護職となった山名教清（のりきよ）が築城したもので、戦国時代諸将の争奪の中心となり、数度の激戦が展開されましたが、天正18年（1590）野火のため焼失し廃城となりました。","","","","","133.83439591068017","35.07616424608775"
"大隅神社","上之町78","0868-24-3310","","http://www.tsuyamakan.jp/tour/detail/?pk=92","奈良時代の和銅年間以前の創建と伝えられている古社です。元は林田郷にあり、城下町を造る際、城下の鬼門の守護として現在の地に移ってきました。現在の新門は、明治維新後に津山城内の門を移築したものです。","","","","","134.01538929346069","35.064970253481349"
"作州鎌","東新町10","","","","城下町・津山の面影を今に伝える城東地区。格子戸の家が軒を連ねる旧出雲街道沿いに、江戸時代から伝統を守り続ける鍛冶屋があります。昔ながらの技術を現代に伝える鍛冶職人たちは、現代の名工として地域の誇りであるだけでなく、城東地区の観光名所の一つとして数えられます。","","","","","134.01905369306087","35.06402045220954"
"横野滝","上横野2135-1","0868-27-2644（もみじ亭）","","http://www.tsuyamakan.jp/tour/detail/?pk=73","津山市の北端、横野川の渓谷にある三つの滝。滝それぞれに異なった趣があり、春の新緑、夏の涼味、秋の紅葉、冬の雪と氷など四季折々の変化が楽しめます。 <BR>交通　JR津山駅から16km、車で30分","","","","","133.99726731947868","35.163571893957347"
"黒沢山・万福寺","東田辺1596","0868-27-0316","","","黒沢山の中腹にある万福寺は、日本三虚空蔵の一つで津山市内が一望のもと。「十三まいり」と呼ばれる万福寺虚空蔵会式(旧正月13日に近い金・土・日曜日)は、13歳の子供がお参りすると「威・福・智」を授かるといわれ、多くの参拝者が押し寄せます。","","","","","133.98828566684463","35.131321777647521"
"めぐみ荘","加茂町小中原143","0868-42-7330","","http://www.t-seibi.jp/works/megumisou.html#ad-image-0","病後の保養、美肌づくりに好適の湯として知られる百々温泉の湯を利用した保養施設です。普通浴槽のほかに、歩行浴槽、マッサージ浴槽、薬風呂、露天風呂、サウナがあります。他に、多目的に利用できる和室、ビリヤード室もあります。","","","","","134.04990311777718","35.178066157031871"
"加茂町インフォメーションセンター ","加茂町桑原121-1","0868-42-4402","","http://www.tsuyamakan.jp/tour/detail/?pk=43","津山市観光協会北支部があり、加茂地域の観光案内を行っています。加茂地域は、岡山県の北東部、中国山地の真ん中に位置し、自然豊かで中心部には岡山県の三大河川の吉井川の支流の加茂川と倉見川が流れています。","","","","","134.05895098451506","35.16997949180319"
"善応寺","大篠1674","0868-29-0513","","","市北部の田園地帯が広がる大篠地区にある善応寺。境内の片隅の巨大もみじは、開いた大きな“傘”は直径十五㍍を超え、周囲の風景の中でもひときわだったその姿に威厳すら感じさせ、訪れる人々の眼と心を引きつけます。","","","","","134.04013073107069","35.119508172280788"
"美作滝尾駅","掘坂257-3","","","http://www.tsuyamakan.jp/tour/detail/?pk=100","津山駅から市東部を北に走るＪＲ因美線のひなびた風情の残る駅。人気映画「男はつらいよ」（松竹・山田洋次監督）の第48作「寅次郎紅の花」の冒頭のシーンで一躍人気を集めました。国鉄合理化の波をかいくぐり、昭和3年の開設当時そのままの駅舎が残っています。","","","","","134.07129334470397","35.123684533403704"
"堀坂神社","堀坂1046","","","","鳥居をくぐると参道の両側にまっすぐ伸びた大きな杉並木が太陽をさえぎり日中でも薄暗いのですが、実はこの厳かな雰囲気を演出する杉並木がこの神社の一番の自慢です。<BR>ご祭神は学問の神様菅原道真公と、縁結びの神としても知られる大国主命(おおくにぬしのみこと)を祀っています。","","","","","134.07756351321012","35.125413407891976"
"奥津川ラビンの里","奥津川867","0868-42-4551","","http://www.tsuyamakan.jp/tour/detail/?pk=20","津川ダムのほとりにログハウス、テントサイト、バーベキューガーデンなどが設けられ、森林や渓流を満喫できます。清流でのアマゴ釣りや水遊び、露天風呂、芝生広場は幅広い世代に人気があります。<BR>交通　中国自動車道津山ＩＣから車で約20分","","","","","134.10697630207974","35.165112629022765"
"広戸仙（爪ヶ城山）","市場・大吉","0868-32-7024（勝北支所産業建設課）","","http://www.tsuyamakan.jp/tour/detail/?pk=21","広戸仙（標高1,115ｍ）は、眼下に日本原高原を展望しながら登れる山として喜ばれています。リピーターの多い「半日コース」は頂上まで2時間程度で歩けるトレッキングコースとして人気があります。<BR>交通　中国自動車道津山ＩＣから車で約20分","","","","","134.12535361671789","35.161964112719872"
"塩手池","市場","0868-32-7024（勝北支所産業建設課）","","http://www.tsuyamakan.jp/tour/detail/?pk=25","雄大な那岐連山の麓にある塩手池は、津山藩主・森長継公によって築造され、現在もかんがい用のため池として県内最大の貯水量を誇ります。その周囲4ｋｍでは、美しい風景を眺めながらの散策、自然観察やサイクリングができます。","","","","","134.12450190165183","35.117379975042"
"トヤの夫婦滝","加茂町黒木","0868-32-7034（加茂支所産業経済課）","","http://www.tsuyamakan.jp/tour/detail/?pk=134","美しい２本の糸を引く滝。地名の「トヤ」と二筋に寄り添うように流れ落ちるその姿から「トヤの夫婦滝（とやのめおとだき）」と名づけられました。<BR>交通　中国自動車道津山ＩＣから車で約３５分","","","","","134.05280788454806","35.232750561898271"
"黒木キャンプ場","加茂町黒木","0868-42-4402（加茂町インフォメーションセンター）","","http://www.kurogicamp.com/","場内を流れる倉見川の清流の全長150ｍの水路で川遊びができるキャンプ場。明るく広々としたロケーションに22棟のバンガローが設けられているほか、バーベキューテラスとレストランもあります。<BR>交通　中国自動車道津山ICから車で約35分","","","","","134.05181069625741","35.238026842056719"
"大ヶ山","阿波","","","http://www.tsuyamakan.jp/tour/detail/?pk=51","","","","","","134.08389125532284","35.238596764754021"
"美作河井転車台","加茂町山下","0868-22-5357（ＪＲ津山駅）","","http://www.tsuyamakan.jp/tour/detail/?pk=104","日本で最後までタブレット交換が行われていたＪＲ因美線の県内最北の駅である美作河井駅。この駅に残る転車台は、現在は使用されていませんが、当時、除雪作業をするため鳥取方面から来たラッセル車を切り返すために使用され、人々の暮らしを陰ながら支えてきました。","","","","","134.10564618566093","35.2051397142987"
"レイクパークKAMO","加茂町黒木","0868-42-4402（加茂町インフォメーションセンター）","","http://www.tsuyamakan.jp/special/sakura/","黒木ダム湖畔周辺のレクリエーションゾーン。自然の形態を活かしたフィールドアスレチックスや湖畔の広場、自然観察の森など15の園地があり、ピクニックや自然散策から本格的なアウトドアキャンピングまで自然を満喫できます。<BR>交通　中国自動車道津山ICから車で約35分","","","","","134.04924943625232","35.232169580971949"
"尾所の桜","阿波1927","0868-32-7042（阿波出張所）","","http://www.tsuyamakan.jp/tour/detail/?pk=52","加茂川の支流、尾所川沿いの坂道に立つ推定樹齢550年の山桜の古木で、高さ16ｍ、四方に伸びる枝20ｍという大きさを誇る県指定天然記念物。4月中旬から下旬に満開を迎えます。<BR>交通　中国自動車道津山ICから車で約35分","","","","","134.10751315560037","35.24394353614"
"大高下ふるさと村「民具展示館」","阿波大高下","0868-32-7042（阿波出張所）","","http://www.tsuyamakan.jp/tour/detail/?pk=50","茅葺き屋根の民家が点在し、水車の回るのどかな山村のたたずまいが多く残っており、ふるさと村ふれあい広場と阿波渓流釣り場はふるさと村の拠点となっています。（昭和49年4月岡山県指定）<BR>交通　中国自動車道津山ICから車で約35分","","","","","134.1146286631415","35.259128015678769"
"あば温泉","阿波1200","0868-46-7111","","http://www.tsuyamakan.jp/tour/detail/?pk=54","山間に湧き出るラドン含有のアルカリ性単純温泉で、ヒノキ造りの「いこいの湯」と岩風呂の「なごみの湯」のほか、ジャグジーバスやスチームサウナも用意されています。宿泊施設とレストランの「あば交流館」が隣接しています。<BR>交通　中国自動車道津山ICから車で約30分<B","","","","","134.11223326229887","35.235675197093535"
"あば交流館","阿波1200","0868-46-7111","","http://www.tsuyamakan.jp/tour/detail/?pk=54","","","","","","134.11166162556256","35.235931782028423"
"廻り滝（めぐりたき）","阿波","0868-32-7042（阿波出張所）","","","","","","","","134.12712777430895","35.2317143516009"
"阿波森林公園","阿波3108-4","0868-46-2077","","http://www.tsuyamakan.jp/tour/detail/?pk=49","","","","","","134.1215596188747","35.245185839810794"
"高福寺","阿波3677","0868-46-2117","","http://www.tsuyamakan.jp/tour/detail/?pk=55","","","","","","134.11935357419804","35.231659500543834"
"大滝","阿波大杉","0868-32-7042（阿波出張所）","","http://www.tsuyamakan.jp/tour/detail/?pk=48","","","","","","134.14239562621012","35.256395967994429"
"白髪滝（しらがたき）","阿波大杉","0868-32-7042（阿波出張所）","","http://www.tsuyamakan.jp/tour/detail/?pk=48","","","","","","134.14135436009764","35.258477001625351"
"布滝（のんだき）","阿波大杉","0868-32-7042（阿波出張所）","","http://www.tsuyamakan.jp/tour/detail/?pk=48","黒岩高原の渓流から落合渓谷に50ｍの高さから10ｍほどの幅で流れ落ちる滝。黒く光る岩盤の上を白布を広げたように水が流れ落ちることから、布滝と名づけられました。水量の多い初夏から紅葉の時期が見ものです。近くには、白髪滝、大滝も点在しています。","","","","","134.13631074534416","35.265659560873807"
"深山渓谷","阿波大杉","0868-32-7042（阿波出張所）","","http://www.tsuyamakan.jp/tour/detail/?pk=46","県下有数の渓谷として知られ、春の新緑や秋の紅葉シーズンになると素晴らしい景色が楽しめます。阿波出張所に観光マップが置いてありますので、ご利用ください。事前に連絡していただくと、観光ボランディアによる案内も可能です。","","","","","134.11963794797055","35.277919345412442"
"貴布禰神社","桑上190","","","","崇神天皇の時代に山城国（京都府）貴船神社を観請したとされる神社。現社殿は明治21年（1888）の改築で、盗難悪疫除けの神として広く民間の信仰を集めています。狼様祭りは毎年12月13日～15日の三日間行われ、県内各地から多くの参詣客が訪れます。","","","","","133.91396838375039","35.027475807835167"
"梅の里公園","神代436-1","0868-57-8775","","http://www.tsuyamakan.jp/tour/detail/?pk=14","紅梅、鶯宿、甲州小梅など約2000本の梅の木が植えられた広大な公園で、那岐山も見渡せる展望台やふれあい農園が整備されています。梅の加工施設では、園内で収穫した梅をジャムや梅漬け、ゼリーなどに加工し販売しています。梅の花の見頃は3月中旬～下旬。","","","","","133.90183802442962","35.038532957960804"
"道の駅「久米の里」","宮尾563-1","0868-57-7234","","http://www.michinoeki-kumenosato.com/","旧出雲街道である国道181号沿いにある道の駅。梅や自然薯、新高梨などの久米エリアの特産品や農産物が並び、地元の食材が味わえるレストランもあります。敷地内に立つ高さ7ｍの巨大モビルスーツ目当てに全国からファンが訪れています。","","","","","133.92291384020345","35.056017805102393"
"作楽神社・院庄館跡","神戸433","0868-28－0719","","http://www.tsuyamakan.jp/tour/detail/?pk=78","「天匂践を空しうするなかれ・・・」と児島高徳が太平記に書いた逸話の舞台が、この作楽神社。元弘の乱（１３３１）の後、隠岐に流される後醍醐天皇をおなぐさめするために児島高徳が桜の幹に掘った十字の歌。散りゆく桜の美しさに、古のロマンが偲ばれます。","","","","","133.94315684807481","35.062262517742973"
"清眼寺","院庄779","0868-28-1237","","http://ww3.tiki.ne.jp/~seigenji/","美作国七福神のひとりである毘沙門天の霊場として、敬虔な信者が訪れます。別名「牡丹寺」とも呼ばれ、境内には100種300株余りの牡丹が植えられています。5月上旬に色とりどりに咲きそろう姿は美しく、「ぼたんまつり」も開催されます。 ","","","","","133.94728428640067","35.056446852973245"
"にらみあいの松","院庄","","","","市西部の院庄地区の児童公園にある「2本の松」のこと。この名前は、初代津山藩主森忠政が築城の際、築城地のことで家老と義弟が対立し二人とも殺され、旧出雲街道を挟んで北と南に墓が作られ、墓の上の松は一方が栄えると一方が弱まったということからきています。","","","","","133.9520423214401","35.055853137576726"
"高野神社","二宮601","0868-28-1978","","https://takano-jinjya.or.jp/","市西部二宮の吉井川北岸に、鎮座が市内でも最古の高野神社があります。創建は西暦535年、美作国二宮として広く知られています。県指定重要文化財の本殿は、西暦1663年二代目津山藩主森長継によって再建されたものです。また、神門は飛騨の工匠の作といわれています。  ","","","","","133.96448750331331","35.059275448166218"
"美和山古墳群","二宮2064","","","http://www.tsuyamakan.jp/tour/detail/?pk=81","市西部の二宮地区にある美和山古墳群（国指定史跡）は、四基の古墳からなる美作地方最大の前方後円墳です。古墳時代前半（四～五世紀）に築かれたとされ、美作地方を広く治めていた豪族の墓と考えられています。","","","","","133.96669348083938","35.063006302875365"
"立石家と梅林","二宮","","","","二宮の高野神社の参道を横切り、目の前に広がる紅白の梅林を抜けると立石家がその情緒ある姿をあらわします。立石家は、江戸時代に、津山藩の大庄屋として藩と農民の調整役を務めましたが、今では建物のみがその時代の生活を伝えています。","","","","","133.96681368206245","35.059995137897886"
"長法寺","井口246","0868-22-6436","","http://www.tsuyamakan.jp/tour/detail/?pk=75","「あじさい寺」の別名で呼ばれるように、長法寺は3千株のあじさいが咲き誇る津山の穴場。見ごろは6月下旬から7月上旬で、たくさんの観光客で賑わいます。明治の詩人、薄田泣菫の詩碑もあり、文学とも縁の深い寺です。 <BR>交通　ＪＲ津山駅から2km<BR>","","","","","133.98624534421975","35.052583846125707"
"神南備山展望台","井口","0868-32-2082（観光振興課）","","http://www.tsuyamakan.jp/tour/detail/?pk=76","清流吉井川の南部に雄大に横たわる神南備山（標高３５６メートル）。急坂ときつい曲がり道のドライブウェイが山頂・展望台に通じています。展望台からの眺めは、空の青、中国山地の緑、鶴山公園の桜、津山盆地を2分する吉井の清流とまるで1枚の美しい絵を見ているようです。","","","","","133.98819031457708","35.049544343077976"
"石山寺","大谷47","0868-22-6544","","http://www.tsuyamakan.jp/tour/detail/?pk=74","市街地の南に位置する石山は、津山駅からわずか1.5キロ歩いて十分ほどで登山道を登りきると、「石山さん」の名で親しまれる天台宗・石山寺があります。寺の本堂の位置は、昔の石切り場の跡で、津山城を築く際、ここから石を切り出して城郭の石垣を組んだといわれています。","","","","","133.99429401460816","35.049095327428013"
"寺町の寺院群","西寺町","","","","寺院群のある西寺町は、名前通り城下（津山城跡）の西の寺町で実に十数ヶ寺が軒を連ねています。寺町は、江戸時代初め、城下町の形成に合わせてつくられ、城下町の西を固め戦の際には出城にする狙いがあったといわれています。","","","","","133.99273759150265","35.058993074468312"
"作州民芸館","西今町18","0868-24-6690","","http://www.tsuyamakan.jp/tour/detail/?pk=83","大正期に建てられた銀行の建物を利用して、津山地方の民芸品や郷土玩具を展示。二階には城西地区の歴史を物語る資料を広く紹介しています。  <BR>交通　JR津山駅から1.4km、徒歩18分","","","","","133.99373371224434","35.060528203797048"
"安国寺と石林園","小田中1203","0868-22-5909","","","元は英田郡角南村にあった真言宗の善福寺を、元禄2年（1689年）に現在地に移して臨済宗に改め、その後森宗の許しを得て、名称の絶えていた美作安国寺を寺号としたもの。<BR>境内の庭園は石林園と呼ばれ、美作地方有数の名園です。  <BR><BR>交通　JR津山駅から2km、徒歩30分","","","","","133.99306097302772","35.064948902580475"
"本源寺と大名墓","小田中1373","0868-22-7351","","http://www.tsuyamakan.jp/tour/detail/?pk=87","初代津山藩主だった森忠政など森氏歴代の菩提寺で五輪の大名墓がならんでいます。そばの宗永寺にも五輪塔がならんでいます。  <BR>交通　JR津山駅から1.5km、徒歩20分","","","","","133.99378705929843","35.062273442633305"
"田町武家屋敷跡","田町","0868-22-3310（津山市観光協会）","","","鶴山城の西側、田町あたりはかつての侍屋敷が続くしっとりとした風情。堂々とした長屋門をくぐると白壁の武家屋敷が現われ、いまもその姿をとどめています。 <BR>交通　JR津山駅から1.3km、徒歩15分","","","","","133.99587490527838","35.062485991566334"
"徳守神社","宮脇町5","0868-22-9532","","http://www.tokumori.sakura.ne.jp/","津山藩主・森忠政が城下町の鎮守として建立した威風堂々の社。毎年10月の津山まつりには、日本三大みこしのひとつにも数え上げられている大みこしや県文化財だんじりなどが繰り出し、その勇壮さは必見です。  <BR>交通　JR津山駅から1km、徒歩15分","","","","","133.99525669042231","35.060237320200066"
"津山駅観光案内所","横山14-31","0868-22-3732","","http://www.tsuyamakan.jp/desk/","","","","","","134.00411114594283","35.054919154299547"
"神楽尾公園","総社240","0868-22-1411","","http://www.tsuyamakan.jp/tour/detail/?pk=67","総社宮から中国自動車道を越えて北に位置する神楽尾公園は、市街地を見渡す眺めも素晴らしく、遊びながら交通ルールが学べる交通広場、ゴーカートやジャンボ滑り台があり、大人から子供まで楽しく遊べる空間です。","","","","","133.99310339011868","35.078597818096632"
"美作総社宮","総社425","","","","大己貴命を主祭神とする総社宮は、美作国府跡とともに美作の歴史を語る上で欠かせない存在です。現在の本殿は、西暦1562年毛利元就が造営したものを後の津山藩主森長継が西暦1656年に修理したもので、国指定の重要文化財です。","","","","","133.99431498015167","35.074086778279195"
"美作国府跡","総社","","","","和銅6年（713）美作国府が置かれた所です。国府は、奈良平安時代、国ごとに置かれた政庁のことです。今では美作国府跡には住宅が立ち並んでいますが、発掘調査により建物の柱跡や土器などが出土し、数アールに及ぶ広大な国府の姿も次第に明らかになっています。","","","","","133.99666950997067","35.075251826637576"
"衆楽園","山北628","0868-23-6507","","http://www.tsuyamakan.jp/tour/detail/?pk=62","衆楽園は、中国山地を借景としたスケールの大きさ、南北に長い池に四つの島を配した近世池泉回遊式の大名庭園で、同じ様式の後楽園よりも古く、国の名勝に指定されています。明暦年間に津山藩二代藩主、森長継公が京都から庭師を招き、仙洞御所を模して造営しました。","","","","","134.00608777211295","35.070790996016328"
"愛山東照宮","小田中189","","","http://www.tsuyamakan.jp/tour/detail/?pk=126","愛山東照宮は、西暦1682年霊地として信仰を集めていた愛宕山地蔵院の敷地内に建立されました。東照宮は徳川家康をまつった神社のことで、東照宮を建立することは当時の藩主森家の徳川幕府に対する忠誠の証でした。","","","","","133.99859915180991","35.068257953001662"
"岡山県立津山高等学校（旧岡山県津山中学校本館）","椿高下62","0868-22-2204","","http://www.tsuyamakan.jp/tour/detail/?pk=125","本館は、津山高等学校の前身である旧制津山中学時代の明治32年の建築です。屋根は寄棟桟瓦、屋根の正面中央にある塔屋の時計台が印象的なイタリアルネサンス様式の外観は、当時のハイカラさを現代に伝えています。","","","","","134.00153780800821","35.067064924236185"
"津山郷土博物館","山下92","0868-22-4567","","http://www.tsu-haku.jp/","昭和初期の石づくり洋風建築で、昭和57年までは市役所として使用。現在は郷土博物館として、弥生時代から津山の誕生までの美作の歴史と文化をテーマに、模型ジオラマと実物を展示しています。 <BR><BR>交通　JR津山駅から0.8ｋｍ、徒歩10分<BR>時間　9：00～17：00【令和2年3月末（予定）まで休館】","","","","","134.0056625285988","35.060863443756766"
"津山観光センター","山下97-1","0868-22-3310","","http://www.tsuyamakan.jp/tour/detail/?pk=60","観光センターには、美作地方の特産品や民芸品、工芸品などが一堂に揃い、気軽にお買い求めできます。また、36人収容の多目的ホールなどもあり、連日多くの観光客でにぎわっています。 <BR>交通　JR津山駅から1km、徒歩15分","","","","","134.00496285630209","35.060793482533363"
"津山城（鶴山公園）","山下135","0868-22-4572","","http://www.tsuyamakan.jp/tour/detail/?pk=58","春には千本の桜が咲き乱れ、西日本随一の桜の名所として多くの人が花見に訪れる鶴山公園（津山城跡）。とくにぼんぼりに浮かぶ夜桜の美しさは幻想的です。また新緑の頃の藤、ツツジ、秋の紅葉、雪景色など、四季を通じて訪れる人の目を楽しませてくれます。","","","","","134.00520317809548","35.062779389735532"
"千代稲荷神社","山下82","0868-24-3310","","http://www.tsuyamakan.jp/tour/detail/?pk=90","鶴山公園と宮川にはさまれた静かな空間に、鳥居の赤も鮮やかな千代稲荷神社があります。静かな町並みに溶け込み、地域の人々の交流の場としても親しまれています。お稲荷さまは商売繁盛の神で、起源は古く、由来によれば朱雀天皇の御代と伝えられています。","","","","","134.00678410418848","35.063459651261439"
"箕作阮甫旧宅","西新町6","0868-31-1346","","http://www.tsuyamakan.jp/tour/detail/?pk=97","幕末の洋学者であり医学者であった箕作阮甫の生家が復元保有され、国指定史跡になっています。江戸時代の町家の雰囲気をよく残しています。<BR>交通　JR津山駅から1.5km、徒歩20分<BR>時間　9:20～16:00<BR>休日　月曜日(祝日のときは翌日)、12/29～1/3<BR>料金　無料","","","","","134.01630503257755","35.062993370139296"
"城東むかし町家","東新町40","0868-22-5791","","http://www.tsuyamakan.jp/tour/detail/?pk=96","出雲街道が東西に走り、その中にあるのがこの旧梶村家住宅。江戸後期に建てられた母屋から昭和初期の西蔵まで、時代と共に生きてきた変化に富む複合的な町家で歴史を物語る貴重な遺構です。<BR><BR>交通　JR津山駅から1.5ｋｍ、徒歩20分","","","","","134.01684537215328","35.063248731322865"
"津山洋学資料館","西新町５","0868-23-3324","","http://www.tsuyama-yougaku.jp/","西洋の内科医学を初めて紹介した宇田川玄随（うだがわげんずい）や、幕末の対米露交渉に活躍した箕作阮甫（みつくりげんぽ）など、津山ゆかりの蘭学者らの資料を展示しています。「解体新書」の初版本のほか、精巧な木製の骨格標本（レプリカ）は目を見張ります。 ","","","","","134.01616989129388","35.063736540612375"
"作州城東屋敷","中之町19","0868-24-6095","","http://www.tsuyamakan.jp/tour/detail/?pk=93","出雲街道を歩いていると、白壁と火の見櫓がひときわ目を引く屋敷があります。ここには「だんじり展示館」があり、県指定文化財の豪壮なだんじりが4台展示され、見ごたえ十分。郷土画家河野磐氏のスケッチもあります。<BR>交通　ＪＲ津山駅から1.5ｋｍ、徒歩20分","","","","","134.01270982599738","35.062135448761"
"津山まなびの鉄道館","津山市大谷","0868-35-3343","","http://www.tsuyamakan.jp/manabi/","津山まなびの鉄道館は、わが国に現存する扇形機関車庫の中で２番目の規模をほこる「旧津山扇形機関車庫」や収蔵車両を中心とするさまざまな展示と憩いの施設で構成されています。","","","","","133.99997637376916","35.053580768869963"
"本光寺","一宮332","0868-27-0328","","","本光寺は、西暦1673年津山藩主森長継が再興しました。周囲の自然に溶け込んだ本堂や禅堂などの建物、四季折々に趣を変える庭といった風情あるお寺ですが、何といっても人々の目をひきつけるのは、市指定重要文化財の「銀モクセイ」です。","","","","","133.99300592196229","35.09643287978173"
"グリーンヒルズ津山「グラスハウス」","大田512","（0868）27-7140","","http://www.mizuno.jp/facility/okayama/tsuyama/","一年中泳げる温水プールほか、リラクゼーションプールやフィットネスプール、全長約90mのウォータースライダーなどがあります。","","","","","134.00918536152909","35.096101746463731"
"弥生住居跡","沼600-1","0868-24－8413（文化財センター）","","http://www.tsuyamakan.jp/tour/detail/?pk=63","津山市沼では約2,000年前の中期農耕社会を垣間見ることができる史跡公園があります。ここには復元された竪穴式住居と高床倉庫があり、弥生時代の暮らしを再現しています。また、文化財センターにはこの時代のさまざまな展示品があります。","","","","","134.01426693673687","35.084036067255866"
