No,全国地方公共団体コード,都道府県名,公表_年月日,患者_延べ数,患者_入院中_入院予定含む,患者_入院中のうち重症者,患者_一般病床に入院中,患者_宿泊療養施設に入所中,患者_自宅療養中,患者_社会福祉施設等で療養中,調整中,患者_退院等,患者_死亡
48,330001,岡山県,2021/7/21,7749,18,1,0,70,16,0,0,7518,127
49,330001,岡山県,2021/7/28,7984,45,3,0,142,58,0,2,7612,127
50,330001,岡山県,2021/8/4,8538,117,3,0,255,227,0,9,7812,127
51,330001,岡山県,2021/8/11,9223,184,7,0,185,494,0,55,8233,127
52,330001,岡山県,2021/8/18,10587,186,7,0,273,1026,0,63,8975,127
53,330001,岡山県,2021/8/25,12241,240,13,0,310,1311,0,32,10221,127
54,330001,岡山県,2021/9/1,13601,268,21,2,251,1150,15,16,11771,128
55,330001,岡山県,2021/9/8,14466,215,17,2,209,735,6,13,13164,128
56,330001,岡山県,2021/9/15,14842,187,13,0,161,267,2,1,14091,135
57,330001,岡山県,2021/9/22,15002,80,5,0,74,100,0,1,14612,135
58,330001,岡山県,2021/9/29,15084,38,3,0,42,25,0,1,14843,135
59,330001,岡山県,2021/10/6,15154,28,1,0,25,26,0,2,14937,136
60,330001,岡山県,2021/10/13,15202,27,2,0,22,17,0,0,15000,136
61,330001,岡山県,2021/10/20,15243,19,2,0,23,16,0,0,15049,136
62,330001,岡山県,2021/10/27,15269,10,1,0,9,14,0,1,15099,136
63,330001,岡山県,2021/11/3,15332,10,1,0,20,33,0,2,15131,136
64,330001,岡山県,2021/11/10,15417,20,1,0,27,40,0,0,15194,136
65,330001,岡山県,2021/11/17,15482,38,3,0,16,29,0,1,15262,136
66,330001,岡山県,2021/11/24,15519,23,1,0,15,24,0,0,15321,136
67,330001,岡山県,2021/12/1,15542,6,1,0,4,17,0,0,15379,136
68,330001,岡山県,2021/12/8,15547,4,1,0,1,1,0,1,15404,136
69,330001,岡山県,2021/12/15,15551,4,1,0,4,1,0,0,15406,136
70,330001,岡山県,2021/12/22,15553,4,1,0,0,0,0,0,15413,136
71,330001,岡山県,2021/12/29,15555,2,0,0,0,0,0,0,15417,136
72,330001,岡山県,2022/1/5,15579,14,0,0,2,1,0,5,15421,136
73,330001,岡山県,2022/1/12,16006,72,0,0,161,182,0,10,15445,136
74,330001,岡山県,2022/1/19,17801,64,0,0,170,1455,6,161,15815,136
75,330001,岡山県,2022/1/26,21958,180,1,2,241,3357,37,741,17301,136
76,330001,岡山県,2022/2/2,28176,238,6,14,211,4690,76,1582,21302,139
77,330001,岡山県,2022/2/9,35643,293,11,46,141,5536,242,1804,27673,150
78,330001,岡山県,2022/2/16,41224,306,14,77,137,5316,219,541,34676,171
79,330001,岡山県,2022/2/23,45752,272,12,93,147,4469,197,460,40128,183
80,330001,岡山県,2022/3/2,49965,248,11,54,144,4143,52,312,44862,202
81,330001,岡山県,2022/3/9,53641,228,5,30,125,3790,38,174,49083,211
82,330001,岡山県,2022/3/16,56999,147,5,13,105,3409,24,162,52944,219
83,330001,岡山県,2022/3/23,59308,95,2,9,116,2484,8,89,56294,221
